	loc_name	address	dates	scores	reviews
62	스타벅스 청주용담DT점	충북 청주시 상당구 용담동 324-36	2020-01-01 15:38:44.050632960	4.620253164556962	143
63	스타벅스 을숙도강변DT점	하단동 1157-17	2020-02-12 12:34:33.600000000	4.62	238
64	스타벅스 충주호암DT점	호암동 653-2 4	2020-04-26 12:32:30.967741952	4.619354838709677	138
65	스타벅스 김해대로DT점	삼정동 616-5	2019-11-15 22:02:47.441860352	4.616279069767442	82
66	스타벅스 전남광양DT점	중동 1321-4	2020-03-12 17:25:42.857142784	4.616071428571429	157
67	스타벅스 동두천DT점	지행동 475-1	2020-03-07 00:41:32.307692288	4.615384615384615	94
68	스타벅스 인천강화DT점	갑곳리 203-10	2020-03-27 23:25:18.072289280	4.614457831325301	80
69	스타벅스 수원KBS DT점	인계동 363-5	2019-12-31 22:11:19.245283072	4.613207547169812	148
70	스타벅스 대구월곡DT점	상인동 620	2019-12-23 14:13:20.000000000	4.611111111111111	75
71	스타벅스 인천간석DT점	간석동 617-6	2019-12-09 03:55:45.132743424	4.610619469026549	210
72	스타벅스 대전대사DT점	대사동 248-296	2019-12-26 23:39:34.468084992	4.609929078014185	127
73	스타벅스 대구침산DT점	침산동 245-1	2020-02-01 06:45:31.034482688	4.609195402298851	162
74	스타벅스 수원세류DT점	세류동 325-1	2020-05-23 13:17:50.270270208	4.608108108108108	68
75	스타벅스 광주선운DT점	선암동 572	2020-04-14 09:24:42.352941056	4.607843137254902	45
76	스타벅스 대구중동네거리DT점	중동 184-4	2020-02-29 10:42:27.692307712	4.607692307692307	59
77	스타벅스 구미시청DT점	송정동 33-11	2020-02-08 15:16:21.818181888	4.607142857142857	148
78	스타벅스 계룡대로DT점	엄사리 284	2020-02-26 09:25:42.857142784	4.607142857142857	131
79	스타벅스 목포북항DT점	산정동 1750-8 외 2필지	2020-02-04 13:03:47.848101376	4.6044303797468356	146
80	스타벅스 광주상무DT점	쌍촌동 973-9	2020-03-12 12:56:58.705036032	4.60431654676259	132
81	스타벅스 서산예천DT점	예천동 696-7	2020-02-25 14:58:47.516778496	4.604026845637584	139
82	스타벅스 명지강변DT점	명지동 1459-1	2020-05-15 19:55:06.122448896	4.6020408163265305	138
83	스타벅스 대전한남대DT점	중리동 231-10	2020-01-18 03:16:21.818181888	4.598484848484849	127
84	스타벅스 영등포신길DT점	신길동 252-9 253-331253-333253-334253-335253-336	2020-02-05 04:48:55.031847168	4.5971337579617835	293
85	스타벅스 마산회원DT점	회원동 43-5	2020-03-29 17:27:16.363636480	4.596590909090909	86
86	스타벅스 일산덕이DT점	덕이동 469 469-1	2020-02-27 05:21:19.338842880	4.595041322314049	117
87	스타벅스 청주봉명DT점	봉명동 1404 SK주유소	2020-01-30 02:19:53.142857216	4.594285714285714	162
88	스타벅스 화곡DT점	화곡동 772-67	2020-02-07 21:47:53.394495488	4.594036697247707	206
89	스타벅스 평택안중DT점	현화리 649-4 649-8, 649-10, 652, 652-1	2020-04-11 07:45:52.941176576	4.5931372549019605	95
90	스타벅스 대전IC DT점	비래동 555-15	2019-11-13 01:53:23.149606400	4.590551181102362	121
91	스타벅스 부산재송DT점	재송동 572-2 외 4필지	2020-01-08 21:52:56.470588160	4.588235294117647	120
92	스타벅스 남양주연평DT점	연평리 59-3	2020-02-08 02:34:17.142857216	4.584821428571429	102
93	스타벅스 원당DT점	주교동 620-1	2020-02-02 01:21:00.000000000	4.584375	147
94	스타벅스 울산정자비치DT점	산하동 398	2020-01-30 15:18:15.652173824	4.583333333333333	129
95	스타벅스 광주효천DT점	임암동 141-3 143-2	2020-04-02 20:55:23.076923136	4.583333333333333	68
96	스타벅스 안양비산DT점	비산동 580-6	2020-01-03 18:30:38.297872384	4.582446808510638	179
97	스타벅스 광주방림DT점	방림동 343-20	2020-01-07 01:25:58.208955136	4.582089552238806	182
98	스타벅스 광주운암DT점	운암동 65-11	2020-01-23 19:27:09.473684224	4.581578947368421	180
99	스타벅스 창원역DT점	팔용동 157-2	2020-01-07 06:53:16.412556032	4.5807174887892375	213
100	스타벅스 양주송추DT점	교현리 112-2	2020-04-09 11:02:24.000000000	4.58	47
101	스타벅스 양주광사DT점	광사동 342-7	2020-02-27 23:09:01.592920320	4.579646017699115	105
102	스타벅스 의정부회룡역DT점	호원동 433-1	2020-02-06 19:19:14.716981248	4.578616352201258	148
103	스타벅스 용인마북DT점	마북동 502-152	2019-12-30 06:27:41.538461440	4.576923076923077	174
104	스타벅스 부천심곡DT점	심곡동 110-5	2020-02-20 19:03:31.764705792	4.576470588235294	161
105	스타벅스 송파나루역DT점	송파동 59-9 송봉주유소	2020-02-17 13:57:57.966101760	4.573446327683616	164
106	스타벅스 당진시곡DT점	충남 당진시 시곡동 67-2 대우임산제재소	2020-02-27 05:20:00.000000000	4.572649572649572	107
107	스타벅스 동래미남DT점	온천동 1428-36	2020-01-23 14:22:06.315789568	4.572368421052632	145
108	스타벅스 송파방이DT점	방이동 226-10	2020-02-09 21:07:12.000000000	4.57	148
109	스타벅스 김해외동DT점	경남 김해시 외동 559 1~2층	2020-02-01 19:52:15.483870976	4.56989247311828	85
110	스타벅스 광주지원DT점	광주 동구 용산동 168-1	2020-05-11 21:49:05.454545408	4.568181818181818	64
111	스타벅스 공주동학사DT점	학봉리 436-1	2020-02-28 15:08:06.486486528	4.5675675675675675	106
112	스타벅스 안양호계DT점	호계동 714-5	2020-01-06 12:48:00.000000000	4.566666666666666	141
113	스타벅스 원주명륜DT점	명륜동 290-1	2020-03-11 22:48:00.000000000	4.565	181
114	스타벅스 인천갈산DT점	갈산동 32-2 34-1	2019-11-24 13:48:46.618705152	4.5647482014388485	133
115	스타벅스 충남보령DT점	궁촌동 133-1	2020-04-10 07:02:45.137614592	4.564220183486238	99
116	스타벅스 대구만촌DT점	만촌동 853-3	2019-12-27 05:44:36.923076864	4.564102564102564	114
117	스타벅스 수원연무DT점	연무동 247-16	2020-03-18 04:55:42.857142784	4.5625	102
118	스타벅스 수원망포DT점	망포동 38-23 GS칼텍스삼신주유소	2020-01-29 15:08:29.871244544	4.560085836909871	223
119	스타벅스 대전판암DT점	판암동 450	2020-02-05 03:24:29.822485248	4.559171597633136	160
120	스타벅스 구의DT점	구의동 67-36	2020-01-11 13:21:34.581280768	4.559113300492611	190
121	스타벅스 광주운남DT점	운남동 414-31	2020-01-06 07:30:00.000000000	4.559027777777778	126
122	스타벅스 포항죽도DT점	죽도동 699-1	2020-03-15 07:37:40.465116160	4.558139534883721	124
123	스타벅스 동부산DT점	시랑리 589-6	2020-01-12 13:22:49.911504384	4.557522123893805	99
124	스타벅스 제주성산DT점	고성리 238	2020-01-16 15:55:03.092783616	4.551546391752577	270
125	스타벅스 동명대DT점	용당동 532-26	2019-12-15 17:44:20.869565184	4.551383399209486	241
126	스타벅스 수영강변DT점	반여동 1201	2020-01-28 03:38:44.050632960	4.550632911392405	151
127	스타벅스 울산북구청DT점	연암동 1223-2 2필지	2020-02-16 03:10:20.689655296	4.545977011494253	167
128	스타벅스 경산중방DT점	중방동 847-6	2019-12-19 09:34:32.727272704	4.545454545454546	188
129	스타벅스 익산영등DT점	영등동 340-11	2020-01-19 12:30:08.372092928	4.544186046511628	207
130	스타벅스 제주애월DT점	고내리 340	2020-02-01 18:27:41.538461440	4.542735042735043	218
131	스타벅스 춘천석사DT점	석사동 799-4	2020-02-08 00:45:28.421052672	4.542105263157895	268
132	스타벅스 인천서구청DT점	심곡동 248-5	2020-01-08 05:24:19.459459584	4.54054054054054	206
133	스타벅스 여주DT점	점봉동 429-1	2020-01-13 07:39:34.468084992	4.537234042553192	90
134	스타벅스 천안IC DT점	신부동 495-1	2020-02-18 07:06:14.400000000	4.536	121
135	스타벅스 인천용현DT점	용현동 630-9	2020-02-03 23:31:29.108910848	4.534653465346534	186
136	스타벅스 경주보문호수DT점	북군동 57-40 1~3층	2019-12-11 14:58:27.692307712	4.534188034188034	114
137	스타벅스 의정부예술의전당DT점	의정부동 543-6	2020-03-13 18:48:09.171974400	4.531847133757962	148
138	스타벅스 김포풍무DT점	풍무동 620-11	2019-12-13 19:29:13.846153728	4.52991452991453	107
139	스타벅스 전북대병원DT점	전북 전주시 덕진구 금암동 1552-19	2020-04-01 05:29:29.491525376	4.529661016949152	104
140	스타벅스 울산시청사거리DT점	달동 875-12	2019-12-21 19:12:00.000000000	4.528	122
141	스타벅스 동탄능동DT점	능동 471-7	2020-02-15 16:21:05.934065920	4.527472527472527	171
142	스타벅스 광주신세계DT점	화정동 177-2	2020-03-01 06:30:41.860465152	4.523255813953488	116
143	스타벅스 인천동춘DT점	동춘동 224-5	2020-02-08 21:51:49.947643904	4.520942408376963	169
144	스타벅스 여수둔덕DT점	둔덕동 491-1	2019-12-16 11:40:11.009174272	4.518348623853211	103
145	스타벅스 동수원DT점	우만동 153-7 유성주유소	2020-01-03 11:42:56.303317504	4.516587677725118	204
146	스타벅스 광주흑석DT점	산정동 909-3	2019-10-02 05:03:09.473684224	4.515789473684211	89
147	스타벅스 울산호계DT점	신천동 546-2 546-7	2020-05-22 02:10:54.545454592	4.515151515151516	61
148	스타벅스 수원경수인계DT점	경기 수원시 팔달구 인계동 963-11	2020-04-22 12:19:27.567567616	4.513513513513513	66
149	스타벅스 대구상동DT점	상동 415-1	2020-01-07 03:25:42.857142784	4.512987012987013	75
150	스타벅스 이천사음DT점	사음동 572-1	2020-02-12 13:14:28.965517312	4.512931034482759	106
151	스타벅스 평내DT점	평내동 246-2	2020-02-08 10:27:58.195488768	4.511278195488722	122
152	스타벅스 마산역DT점	석전동 223-4	2019-12-31 16:43:56.619718400	4.51056338028169	134
153	스타벅스 일산풍동DT점	경기 고양시 일산동 풍동 879	2020-01-03 11:13:45.688073472	4.509174311926605	99
154	스타벅스 광주용두DT점	광주 북구 신용동 산41-19	2020-02-23 19:34:31.508379904	4.5083798882681565	167
155	스타벅스 금정구청DT점	부곡동 217-2	2020-02-02 12:09:51.780822016	4.506849315068493	134
156	스타벅스 부평삼거리역DT점	간석동 772	2020-03-28 16:03:27.194244608	4.503597122302159	133
157	스타벅스 수원인계DT점	인계동 1019 1~2층	2019-12-29 22:45:05.202312192	4.502890173410405	164
158	스타벅스 천안불당DT점	불당동 1844	2020-01-27 00:36:00.000000000	4.5	112
159	스타벅스 마산해안대로DT점	오동동 317	2020-02-08 09:27:16.363636480	4.497474747474747	190
160	스타벅스 신영통DT점	반월동 163-3	2020-02-04 13:37:01.276595712	4.49645390070922	136
161	스타벅스 대구도원DT점	도원동 577	2020-02-12 20:17:33.658536704	4.495934959349594	110
162	스타벅스 강릉송정DT점	송정동 545-2	2020-03-31 18:56:50.526315776	4.494736842105263	89
163	스타벅스 낙성대DT점	봉천동 1657-3	2019-12-21 10:23:39.718309888	4.494718309859155	273
164	스타벅스 김해구산DT점	구산동 836-1	2020-03-22 04:41:44.347826176	4.494565217391305	86
165	스타벅스 인천학익DT점	학익동 690-2 평산면옥	2020-02-13 18:30:35.294117632	4.493464052287582	139
166	스타벅스 강동구청DT점	성내동 550	2020-02-24 05:35:32.038834944	4.492718446601942	195
167	스타벅스 제주도남DT점	도남동 377	2020-03-27 22:11:19.245283072	4.490566037735849	103
168	스타벅스 김천시청DT점	신음동 1000-3	2020-01-20 14:58:38.796992512	4.488721804511278	120
169	스타벅스 천안성정DT점	성정동 625-3	2020-01-01 00:38:24.000000000	4.486666666666666	138
170	스타벅스 수원IC DT점	영덕동 522-2 LG동광주유소	2019-12-27 07:53:33.422818816	4.4865771812080535	136
171	스타벅스 경남사천DT점	수석리 320-1	2020-04-02 00:13:12.660550400	4.486238532110092	104
172	스타벅스 양주덕정역DT점	덕정동 223-8	2020-03-12 18:10:05.607476736	4.485981308411215	98
173	스타벅스 안양운동장사거리DT점	비산동 1054	2020-02-19 07:48:20.970873856	4.485436893203883	191
174	스타벅스 구미금오산DT점	남통동 414-4 - 4번지	2020-01-08 02:29:16.097561088	4.484756097560975	152
175	스타벅스 평촌역DT점	관양동 902 1필지	2020-04-20 07:56:13.228346368	4.484251968503937	112
176	스타벅스 연희DT점	연희동 87-7 ,87-8	2020-02-14 01:57:00.000000000	4.48125	153
177	스타벅스 대구평리DT점	평리동 1407-7	2020-01-12 19:56:18.461538560	4.480769230769231	125
178	스타벅스 광주산정DT점	산정동 917-11	2019-11-03 04:11:39.029126144	4.480582524271845	92
179	스타벅스 전주백제대로DT점	중화산동2가 648	2020-01-24 08:05:29.142857216	4.48	167
180	스타벅스 다대포DT점	다대동 293-1	2020-02-20 05:42:17.704918016	4.479508196721311	114
181	스타벅스 대구중동DT점	중동 316-3	2020-01-19 11:18:20.826446336	4.479338842975206	113
182	스타벅스 화성병점DT점	진안동 873-4	2019-12-29 21:39:30.731707392	4.478658536585366	151
183	스타벅스 대전유천DT점	유천동 185-3	2020-01-22 15:16:21.818181888	4.475206611570248	119
184	스타벅스 경기광주송정DT점	송정동 12-12 1필지	2020-03-31 11:41:32.307692288	4.4743589743589745	73
185	스타벅스 평택서정DT점	서정동 813-2	2020-03-11 04:08:16.551724032	4.474137931034483	111
186	스타벅스 충주시청DT점	금릉동 714	2019-12-31 12:39:16.363636480	4.472727272727273	105
187	스타벅스 진주칠암DT점	주약동 109-3 9필지	2020-01-01 09:26:55.748031488	4.47244094488189	124
188	스타벅스 신림DT점	신림동 564-12	2020-01-30 00:00:00.000000000	4.471590909090909	168
189	스타벅스 풍무사거리DT점	풍무동 57-1	2020-05-12 11:07:49.565217280	4.471014492753623	64
190	스타벅스 제주용담DT점	용담삼동 2572-4 화이트하우스	2020-01-09 15:44:03.983402496	4.470954356846473	232
191	스타벅스 인천송도DT점	송도동 8-17 레인보우빌딩	2020-02-05 08:19:35.510204160	4.466836734693878	183
192	스타벅스 이천증포DT점	경기 이천시 증포동 216-3 216-8, 216-10, 216-13, 217-5, 217-7	2020-01-26 08:00:00.000000000	4.466666666666667	103
193	스타벅스 광주연제DT점	연제동 1088	2020-06-06 18:12:24.827586304	4.4655172413793105	28
194	스타벅스 시흥대야DT점	대야동 501-3	2020-04-11 12:49:54.059405824	4.465346534653466	94
195	스타벅스 종암DT점	종암동 29-10	2019-12-04 23:27:27.457627136	4.463276836158192	168
196	스타벅스 역곡역DT점	괴안동 112-25	2020-02-04 20:10:12.765957376	4.462765957446808	267
197	스타벅스 오산갈곶DT점	갈곶동 244-3 245, 245-1, 245-5번지	2020-02-06 13:26:48.510638336	4.460992907801418	134
198	스타벅스 천안서부대로DT점	쌍용동 254	2020-03-12 10:09:52.941176576	4.458823529411765	77
199	스타벅스 춘천후평DT점	강원 춘천시 후평동 700-1	2020-01-15 19:13:30.471204096	4.458115183246074	181
200	스타벅스 용인시청DT점	삼가동 197-4 197-7, 264-6	2020-01-21 03:12:00.000000000	4.457142857142857	98
201	스타벅스 안양석수DT점	석수동 385-3	2019-12-07 02:17:57.844311296	4.455089820359281	153
202	스타벅스 대구두류DT점	두류동 135-14	2020-01-21 21:25:59.358288896	4.451871657754011	163
203	스타벅스 포천DT점	선단동 557	2020-02-26 15:31:45.882352896	4.450980392156863	92
204	스타벅스 광명소하DT점	소하동 1077	2020-01-18 15:38:03.428571392	4.448571428571428	154
205	스타벅스 남양주진접DT점	장현리 230-6	2020-02-07 11:19:40.800000000	4.448	114
206	스타벅스 제주삼화DT점	제주 제주시 도련일동 2191-2	2020-04-27 03:13:25.970149376	4.447761194029851	65
207	스타벅스 대전수침교DT점	용문동 250-3	2020-02-18 09:55:29.323308288	4.447368421052632	128
208	스타벅스 방화DT점	방화동 293-4	2020-01-29 12:48:48.813559296	4.444915254237288	225
209	스타벅스 진해자은DT점	자은동 793-2	2020-02-14 03:06:48.648648704	4.443243243243243	162
210	스타벅스 풍무역DT점	풍무동 326-4	2020-04-04 19:19:19.322033920	4.436440677966102	112
211	스타벅스 공릉DT점	공릉동 597-34 597-30, 597-31, 597-32	2020-01-05 01:16:35.744680960	4.4361702127659575	264
212	스타벅스 밀양DT점	삼문동 532-3	2020-03-29 04:44:50.109890048	4.434065934065934	82
213	스타벅스 사상주례DT점	주례동 854	2020-02-18 05:39:18.620689664	4.433908045977011	157
214	스타벅스 전주덕진광장DT점	덕진동1가 1275-22	2020-01-02 02:31:09.613259776	4.433701657458563	173
215	스타벅스 광주수완DT점	수완동 670-11	2019-09-30 16:49:52.207792128	4.428571428571429	73
216	스타벅스 오산IC DT점	원동 119-85	2020-02-04 17:31:34.736841984	4.427631578947368	145
217	스타벅스 수영망미DT점	망미동 412-27	2020-01-01 10:30:00.000000000	4.42578125	112
218	스타벅스 양산덕계DT점	덕계동 323-2	2020-01-05 21:07:12.000000000	4.423333333333333	138
219	스타벅스 전북정읍DT점	수성동 449-1	2019-12-16 02:08:57.313432832	4.4216417910447765	131
220	스타벅스 광주신가DT점	신가동 706-1	2020-02-24 04:38:04.137931008	4.4206896551724135	138
221	스타벅스 신정DT점	신정동 981-15	2020-02-12 05:15:00.000000000	4.416666666666667	186
222	스타벅스 전주송천DT점	송천동2가 487	2020-03-04 01:30:56.842105344	4.41578947368421	173
223	스타벅스 용인동백DT점	상하동 461-2	2019-12-02 14:25:49.367088640	4.4145569620253164	154
224	스타벅스 동서대DT점	주례동 189-9	2020-01-09 02:32:02.981366528	4.413043478260869	153
225	스타벅스 청주율량DT점	율량동 1068	2020-02-15 08:23:36.393442560	4.407103825136612	171
226	스타벅스 백석역DT점	백석동 1296-3 1층	2020-02-15 14:53:09.873417728	4.401898734177215	153
227	스타벅스 용인보라DT점	보라동 376-6	2020-02-11 20:35:44.680850944	4.400709219858156	134
228	스타벅스 청주비하DT점	비하동 671-11	2020-04-20 15:01:58.681318656	4.395604395604396	84
229	스타벅스 강동암사DT점	암사동 441-12	2020-03-15 07:57:15.428571392	4.388571428571429	155
230	스타벅스 북수원IC DT점	파장동 469-4	2019-09-05 23:36:46.451612928	4.38508064516129	237
231	스타벅스 수지성복DT점	성복동 83-2 1~2층	2019-12-05 03:48:03.257918464	4.384615384615385	195
232	스타벅스 의왕청계DT점	경기 의왕시 청계동 829-4	2020-04-23 08:18:27.692307712	4.378205128205129	75
233	스타벅스 부산안락DT점	안락동 256-4	2019-12-14 00:55:01.910828032	4.369426751592357	147
234	스타벅스 북오산IC DT점	외삼미동 327-29	2020-03-28 16:17:24.559585536	4.360103626943006	176
235	스타벅스 경기광주쌍령DT점	쌍령동 168	2020-04-28 02:57:32.054794496	4.342465753424658	65
236	스타벅스 전주효자DT점	효자동1가 410-6	2020-01-12 11:35:10.344827648	4.332512315270936	195
237	스타벅스 경기광주신현DT점	신현리 701-5	2020-03-17 08:16:33.103448320	4.331896551724138	108
238	스타벅스 구미도량DT점	도량동 315	2020-01-27 15:53:45.974025984	4.3311688311688314	147
239	스타벅스 김해진영DT점	진영리 81-3	2020-06-13 10:17:08.571428608	4.328571428571428	32
240	스타벅스 대전도안DT점	봉명동 555-3	2019-12-14 12:41:36.000000000	4.32	218
241	스타벅스 대전가수원DT점	가수원동 655-20 스타벅스	2019-12-10 23:11:43.910614528	4.318435754189944	173
242	스타벅스 과천DT점	중앙동 79	2020-01-27 02:20:29.268292608	4.317073170731708	79
243	스타벅스 하남미사DT점	망월동 1066-3	2020-03-18 20:32:48.345323776	4.316546762589928	135
244	스타벅스 천안두정역DT점	두정동 71-13	2020-05-23 08:29:32.307692288	4.3	60
245	스타벅스 전주평화DT점	평화동2가 300-1	2020-01-21 19:08:21.265822720	4.294303797468355	147
246	스타벅스 속초DT점	조양동 1002-39	2020-01-11 05:39:13.846153728	4.293269230769231	192
247	스타벅스 울산중리사거리DT점	삼산동 1545-5	2020-01-05 08:00:00.000000000	4.272108843537415	136
248	스타벅스 리버사이드팔당DTR점	도곡리 504-15	2020-01-30 14:54:47.861271552	4.173410404624278	321
