	mac_name	address	address2	score	latitude	longitude
21	맥도날드 하남시청DT점	경기 하남시 대청로 25	(지번) 신장동 522-5	3.1	37.5409541	127.2149612
22	맥도날드 김포감정DT점	경기 김포시 중봉로 19	(지번) 감정동 506-2	2.5	37.6242991	126.6966114
23	맥도날드 수원정자DT점	경기 수원시 장안구 수성로 267	(지번) 정자동 76-18	1.8	37.2902776	127.0016359
24	맥도날드 북수원DT점	경기 수원시 장안구 경수대로 991	(지번) 송죽동 451-1	2.6	37.305151	127.0027332
25	맥도날드 동수원GS DT점	경기 수원시 영통구 창룡대로 370	(지번) 이의동 835	3.2	37.2948344	127.048353
26	맥도날드 김포장기DT점	경기 김포시 김포한강1로 77-40	(지번) 장기동 1911-2	3.1	37.6463436	126.6706281
27	맥도날드 수원화성DT점	경기 수원시 팔달구 경수대로 676	(지번) 우만동 490-4	3.4	37.2856388	127.0280422
28	맥도날드 구월DT점	인천 남동구 인주대로 514	(지번) 구월동 1120-16	3.5	37.45003870000001	126.69382659999998
29	맥도날드 만가대DT점	경기 의정부시 민락로 11	(지번) 용현동 60-1	2.4	37.7405212	127.0915639
30	맥도날드 대전유성DT점	대전 유성구 계룡로87번길 3	(지번) 봉명동 446-5	1.4	36.3559776	127.3412985
31	맥도날드 동해DT점	강원 동해시 한섬로 93	(지번) 천곡동 1066	4.1	37.52076390000001	129.1140241
32	맥도날드 전주효자DT점	전북 전주시 완산구 용머리로 13	(지번) 효자동1가 411-5	4.0	35.8057854	127.1118931
33	맥도날드 전주평화DT점	전북 전주시 완산구 모악로 4758	(지번) 평화동1가 732-1	0.0	35.79385870000001	127.1326778
34	맥도날드 구미도량DT점	경북 구미시 야은로 447	(지번) 도량동 524-3	2.8	36.1362174	128.331793
35	맥도날드 대구수성DT점	대구 수성구 달구벌대로 2345	(지번) 수성동4가 1020-2	4.0	35.8599913	128.6191354
36	맥도날드 대구침산DT	대구 북구 침산로 120	(지번) 침산동 244-6	4.0	35.8869787	128.5917287
37	맥도날드 대구복현DT점	대구 북구 동북로 303	(지번) 복현동 364-5	2.3	35.892265	128.6232545
38	맥도날드 대구두류DT점	대구 달서구 달구벌대로 1684	(지번) 두류동 495-47	2.5	35.85471629999999	128.5501436
39	맥도날드 구미인동DT	경북 구미시 인동북길 155	(지번) 인의동 1004-6	3.0	36.0953787	128.4317648
40	맥도날드 대구진천DT	대구 달서구 월배로 67	(지번) 진천동 599-1	3.6	35.8273786	128.5466347
41	맥도날드 대구본리DT점	대구 달서구 와룡로 134	(지번) 감삼동 346	4.4	35.8446171	128.5371049
42	맥도날드 대구태전DT점	대구 북구 칠곡중앙대로 303	(지번) 태전동 409-12	3.0	35.9227838	128.5465579
43	맥도날드 구미옥계DT점	경북 구미시 옥계2공단로 390	(지번) 옥계동 362-1	2.7	36.1292331	128.41513229999998
44	맥도날드 김천평화DT점	경북 김천시 자산로 199	(지번) 평화동 2-2	3.0	36.1279521	128.1178436
45	맥도날드 대구이곡DT점	대구 달서구 이곡공원로 8	(지번) 이곡동 1244-3	3.1	35.8551693	128.5083055
46	맥도날드 대구상인DT점	대구 달서구 월곡로 338	(지번) 상인동 54-2	3.5	35.80847809999999	128.54398940000002
47	맥도날드 대구황금DT점	대구 수성구 청수로 157	(지번) 황금동 567-11	3.0	35.8398205	128.6254409
48	맥도날드 대구시지DT점	대구 수성구 달구벌대로 3199	(지번) 매호동 1087-1	2.7	35.84096359999999	128.70702759999998
49	맥도날드 대구희망DT점	대구 수성구 수성로 238	(지번) 중동 70-10	3.8	35.84665529999999	128.6133582
50	맥도날드 대구모다DT점	대구 달서구 달서대로 455	(지번) 호산동 720-2	2.0	35.8400355	128.49151909999998
51	맥도날드 대구만촌DT점	대구 수성구 만촌동 853-1		2.0	35.8567648	128.6499992
52	맥도날드 대구다사DT점	대구 달성군 다사읍 달구벌대로 825	(지번) 다사읍 죽곡리 5-23	2.8	35.8617361	128.4616588
53	맥도날드 광주월산DT점	광주 남구 대남대로 393	(지번) 월산동 951-3	3.1	35.1458386	126.8896371
54	맥도날드 광주쌍촌DT점	광주 서구 상무대로 921-1	(지번) 쌍촌동 964-9	4.2	35.1515348	126.8627503
55	맥도날드 전남대DT점	광주 북구 우치로 134	(지번) 용봉동 127-1	4.0	35.1888835	126.9072298
56	맥도날드 광주첨단DT점	광주 북구 임방울대로 1048	(지번) 용두동 311-15	2.4	35.2115964	126.8717442
57	맥도날드 대구교대DT점	대구 남구 중앙대로 225	(지번) 대명동 1793-5	3.0	35.8534714	128.59025400000002
58	맥도날드 대구평리DT점	광주 북구 북문대로187번길 2	(지번) 운암동 1078-2	3.2	35.18579550000001	126.8689377
59	맥도날드 용봉DT	광주 북구 설죽로 289	(지번) 용봉동 1130-6	1.8	35.1852765	126.898194
60	맥도날드 포항북부DT점	경북 포항시 북구 해안로 85	(지번) 두호동 724	3.1	36.0562806	129.37753909999998
61	맥도날드 포항남부DT점	경북 포항시 남구 새천년대로 470	(지번) 대잠동 915	3.4	36.017269799999994	129.347265
62	맥도날드 경주용강DT점	경북 경주시 산업로 4364	(지번) 용강동 875	2.6	35.86893720000001	129.2250291
63	맥도날드 경주황남DT점	경북 경주시 태종로 701	(지번) 노서동 169-5	1.9	35.838876	129.2049018
64	맥도날드 포항장성DT점	경북 포항시 북구 새천년대로 1261	(지번) 장성동 1576-5	3.4	36.0747602	129.3849137
65	맥도날드 경주보문DT점	경북 경주시 보문로 445	(지번) 신평동 436	3.4	35.84861489999999	129.2773952
66	맥도날드 밀양DT점	경남 밀양시 밀양대로 1872	(지번) 삼문동 397	3.2	35.4910287	128.746135
67	맥도날드 진주칠암DT점	경남 진주시 진주대로 838	(지번) 주약동 94-1	3.5	35.175429	128.09332609999998
68	맥도날드 진주가좌DT점	경남 진주시 진주대로 612	(지번) 가좌동 644-3	3.0	35.161428	128.10727820000002
69	맥도날드 창원역DT점	경남 창원시 의창구 팔용동 149-4		3.3	35.2558173	128.60673290000003
70	맥도날드 순천조례DT점	전남 순천시 순광로 75	(지번) 조례동 382-1	2.2	34.9572979	127.5287125
71	맥도날드 광주동림DT점	광주 북구 하남대로 635	(지번) 동림동 900-41	3.1	35.17239320000001	126.8622261
72	맥도날드 광주운암DT점	경남 창원시 성산구 창이대로706번길 2	(지번) 사파동 97-4	3.3	35.2218427	128.7003217
73	맥도날드 순천덕암DT점	전남 순천시 구암원길 1	(지번) 덕암동 146-32	2.4	34.9421468	127.5106043
74	맥도날드 마산신포DT점	경남 창원시 마산합포구 서성로 8	(지번) 신포동1가 25-1	3.6	35.1979974	128.5707102
75	맥도날드 울산호계SK점	울산 북구 산업로 1448	(지번) 신천동 452-1	3.2	35.6357136	129.3454118
76	맥도날드 양산DT점	경남 양산시 동면 남양산길 7	(지번) 동면 석산리 1421-9	1.3	35.3280347	129.0334712
77	맥도날드 김해장유DT점	경남 김해시 삼문로 34	(지번) 대청동 316-1	2.6	35.1926737	128.8051155
78	맥도날드 울산굴화DT점	울산 울주군 범서읍 울밀로 2877	(지번) 범서읍 굴화리 28-8	2.5	35.556479	129.2625956
79	맥도날드 양산북정DT점	경남 양산시 양산대로 925	(지번) 신기동 545-7	1.0	35.3509323	129.03879540000003
80	맥도날드 김해외동DT점	경남 김해시 분성로 144	(지번) 외동 238-3	4.0	35.22952429999999	128.8624752
