	mac_name	address	address2	score	latitude	longitude
106	맥도날드 대전가장DT점	대전 서구 도산로 324	(지번) 가장동 54-26	2.3	36.3345105	127.3887558
107	맥도날드 대전한남대DT점	대전 대덕구 한밭대로 1102	(지번) 중리동 230-15	2.3	36.3584412	127.4211278
108	맥도날드 충남보령DT점	충남 보령시 터미널길 3	(지번) 궁촌동 345-4	3.2	36.3483271	126.5901844
109	맥도날드 대전부사DT점	대전 중구 충무로 139	(지번) 부사동 87-14	3.4	36.3197693	127.4317712
110	맥도날드 대전센트럴DT점	대전 중구 중앙로 64	(지번) 대흥동 522-1	1.9	36.3240104	127.419184
111	맥도날드 대전가수원DT점	대전 서구 계백로 1124	(지번) 가수원동 655-4	3.4	36.3035567	127.34838870000002
112	맥도날드 대전유천DT점	대전 중구 계백로 1549	(지번) 유천동 327-33	2.8	36.31754100000001	127.39230719999999
113	맥도날드 충남논산DT점	충남 논산시 시민로 247	(지번) 내동 343-1	3.7	36.1830059	127.096643
114	맥도날드 속초DT점	강원 속초시 동해대로 4118	(지번) 조양동 636-53	3.6	38.18989379999999	128.58396969999998
115	맥도날드 익산영등DT점	전북 익산시 무왕로 1046	(지번) 영등동 747-8	3.3	35.9581675	126.97292890000001
116	맥도날드 군산나운DT점	전북 군산시 나운로 132	(지번) 나운동 844-6	2.9	35.9621956	126.69617379999998
117	맥도날드 전주덕진DT점	전북 전주시 덕진구 기린대로 503	(지번) 덕진동1가 1401-18	2.9	35.8438339	127.12305459999999
118	맥도날드 전주송천DT	전북 전주시 덕진구 송천중앙로 200	(지번) 송천동2가 527-12	4.6	35.8648384	127.12190759999999
119	맥도날드 전주인후DT점	전북 전주시 덕진구 백제대로 692	(지번) 인후동2가 1529-3	2.0	35.8438598	127.144916
120	맥도날드 김천평화DT점	경북 김천시 자산로 199	(지번) 평화동 2-2	3.0	36.1279521	128.1178436
121	맥도날드 동해DT점	강원 동해시 한섬로 93	(지번) 천곡동 1066	4.1	37.52076390000001	129.1140241
122	맥도날드 전주효자DT점	전북 전주시 완산구 용머리로 13	(지번) 효자동1가 411-5	4.0	35.8057854	127.11189309999999
123	맥도날드 전주평화DT점	전북 전주시 완산구 모악로 4758	(지번) 평화동1가 732-1	0.0	35.79385870000001	127.1326778
124	맥도날드 구미도량DT점	경북 구미시 야은로 447	(지번) 도량동 524-3	2.6	36.1362174	128.331793
125	맥도날드 대구수성DT점	대구 수성구 달구벌대로 2345	(지번) 수성동4가 1020-2	4.0	35.8599913	128.6191354
126	맥도날드 대구침산DT	대구 북구 침산로 120	(지번) 침산동 244-6	4.0	35.8869787	128.5917287
127	맥도날드 대구복현DT점	대구 북구 동북로 303	(지번) 복현동 364-5	2.3	35.892265	128.6232545
128	맥도날드 대구두류DT점	대구 달서구 달구벌대로 1684	(지번) 두류동 495-47	2.5	35.85471629999999	128.5501436
129	맥도날드 구미인동DT	경북 구미시 인동북길 155	(지번) 인의동 1004-6	3.0	36.0953787	128.4317648
130	맥도날드 대구진천DT	대구 달서구 월배로 67	(지번) 진천동 599-1	3.6	35.8273786	128.5466347
131	맥도날드 대구본리DT점	대구 달서구 와룡로 134	(지번) 감삼동 346	4.4	35.8446171	128.5371049
132	맥도날드 대구태전DT점	대구 북구 칠곡중앙대로 303	(지번) 태전동 409-12	3.0	35.9227838	128.5465579
133	맥도날드 구미옥계DT점	경북 구미시 옥계2공단로 390	(지번) 옥계동 362-1	2.7	36.1292331	128.41513229999998
134	맥도날드 대구교대DT점	대구 남구 중앙대로 225	(지번) 대명동 1793-5	3.0	35.8534714	128.59025400000002
135	맥도날드 전북정읍DT점	전북 정읍시 남북로 51	(지번) 수성동 524-17	3.8	35.5698855	126.8558955
136	맥도날드 대구평리DT점	대구 서구 서대구로 95	(지번) 평리동 1407-1	1.1	35.8664101	128.555225
137	맥도날드 대구상인DT점	대구 달서구 월곡로 338	(지번) 상인동 54-2	3.5	35.80847809999999	128.54398940000002
138	맥도날드 대구이곡DT점	대구 달서구 이곡공원로 8	(지번) 이곡동 1244-3	3.1	35.8551693	128.5083055
139	맥도날드 대구황금DT점	대구 수성구 청수로 157	(지번) 황금동 567-11	3.0	35.8398205	128.6254409
140	맥도날드 대구시지DT점	대구 수성구 달구벌대로 3199	(지번) 매호동 1087-1	2.5	35.84096359999999	128.70702759999998
141	맥도날드 대구희망DT점	대구 수성구 수성로 238	(지번) 중동 70-10	3.8	35.846655299999995	128.6133582
142	맥도날드 대구모다DT점	대구 달서구 달서대로 455	(지번) 호산동 720-2	2.0	35.8400355	128.49151909999998
143	맥도날드 대구만촌DT점	대구 수성구 만촌동 853-1		2.0	35.8567648	128.6499992
144	맥도날드 대구다사DT점	대구 달성군 다사읍 달구벌대로 825	(지번) 다사읍 죽곡리 5-23	2.8	35.8617361	128.4616588
145	맥도날드 광주월산DT점	광주 남구 대남대로 393	(지번) 월산동 951-3	3.1	35.1458386	126.8896371
146	맥도날드 광주쌍촌DT점	광주 서구 상무대로 921-1	(지번) 쌍촌동 964-9	4.2	35.1515348	126.8627503
147	맥도날드 전남대DT점	광주 북구 우치로 134	(지번) 용봉동 127-1	4.0	35.1888835	126.9072298
148	맥도날드 광주첨단DT점	광주 북구 임방울대로 1048	(지번) 용두동 311-15	2.4	35.2115964	126.87174420000001
149	맥도날드 광주산정DT점	광주 광산구 용아로 251	(지번) 산정동 143-16	2.9	35.1657821	126.80134380000001
150	맥도날드 광주동림DT점	광주 북구 하남대로 635	(지번) 동림동 900-41	3.1	35.17239320000001	126.8622261
151	맥도날드 광주운암DT점	광주 북구 북문대로187번길 2	(지번) 운암동 1078-2	3.2	35.185795500000005	126.8689377
152	맥도날드 용봉DT	광주 북구 설죽로 289	(지번) 용봉동 1130-6	1.8	35.1852765	126.89819399999999
153	맥도날드 포항북부DT점	경북 포항시 북구 해안로 85	(지번) 두호동 724	3.1	36.0562806	129.37753909999998
154	맥도날드 포항남부DT점	경북 포항시 남구 새천년대로 470	(지번) 대잠동 915	3.4	36.017269799999994	129.347265
155	맥도날드 경주용강DT점	경북 경주시 산업로 4364	(지번) 용강동 875	2.6	35.868937200000005	129.2250291
156	맥도날드 경주황남DT점	경북 경주시 태종로 701	(지번) 노서동 169-5	1.9	35.838876	129.2049018
157	맥도날드 포항장성DT점	경북 포항시 북구 새천년대로 1261	(지번) 장성동 1576-5	3.4	36.0747602	129.3849137
158	맥도날드 경주보문DT점	경북 경주시 보문로 445	(지번) 신평동 436	3.4	35.848614899999994	129.2773952
159	맥도날드 밀양DT점	경남 밀양시 밀양대로 1872	(지번) 삼문동 397	3.2	35.4910287	128.746135
160	맥도날드 진주칠암DT점	경남 진주시 진주대로 838	(지번) 주약동 94-1	3.5	35.175429	128.09332609999998
161	맥도날드 진주가좌DT점	경남 진주시 진주대로 612	(지번) 가좌동 644-3	3.0	35.161428	128.10727820000002
162	맥도날드 창원역DT점	경남 창원시 의창구 팔용동 149-4		3.3	35.2558173	128.60673290000003
163	맥도날드 순천조례DT점	전남 순천시 순광로 75	(지번) 조례동 382-1	2.2	34.9572979	127.5287125
164	맥도날드 창원내서DT	경남 창원시 마산회원구 내서읍 광려천서로 77	(지번) 내서읍 중리 1043-11	2.6	35.2487005	128.5104858
165	맥도날드 사천DT점	경남 사천시 사천읍 사천대로 1838	(지번) 사천읍 수석리 320-11	2.6	35.0804781	128.083502
166	맥도날드 창원사파DT점	경남 창원시 성산구 창이대로706번길 2	(지번) 사파동 97-4	3.3	35.2218427	128.7003217
167	맥도날드 순천덕암DT점	전남 순천시 구암원길 1	(지번) 덕암동 146-32	2.4	34.942146799999996	127.51060430000001
168	맥도날드 마산신포DT점	경남 창원시 마산합포구 서성로 8	(지번) 신포동1가 25-1	3.6	35.1979974	128.5707102
169	맥도날드 울산호계SK점	울산 북구 산업로 1448	(지번) 신천동 452-1	3.2	35.6357136	129.3454118
170	맥도날드 양산DT점	경남 양산시 동면 남양산길 7	(지번) 동면 석산리 1421-9	1.3	35.3280347	129.0334712
171	맥도날드 김해장유DT점	경남 김해시 삼문로 34	(지번) 대청동 316-1	2.6	35.1926737	128.8051155
172	맥도날드 울산굴화DT점	울산 울주군 범서읍 울밀로 2877	(지번) 범서읍 굴화리 28-8	2.5	35.556478999999996	129.2625956
173	맥도날드 김해외동DT점	경남 김해시 분성로 144	(지번) 외동 238-3	4.0	35.229524299999994	128.8624752
174	맥도날드 양산북정DT점	경남 양산시 양산대로 925	(지번) 신기동 545-7	1.0	35.3509323	129.03879540000003
175	맥도날드 목포남악DT점	전남 무안군 삼향읍 남악3로 58	(지번) 삼향읍 남악리 2148	1.0	34.81084310000001	126.4604118
176	맥도날드 울산삼산로DT점	울산 남구 삼산로 230	(지번) 달동 1253-1	1.9	35.5375769	129.3307588
177	맥도날드 김해삼계DT점	경남 김해시 가야로 167	(지번) 삼계동 1460-5	2.6	35.249704799999996	128.8794578
178	맥도날드 울산옥동	울산 남구 문수로423번길 2	(지번) 신정동 1639-36	2.8	35.5350607	129.30105749999998
179	맥도날드 김해삼정DT점	경남 김해시 김해대로 2471	(지번) 삼정동 616-3	2.4	35.228164899999996	128.8971044
180	맥도날드 울산삼산DT	울산 남구 화합로 201	(지번) 삼산동 1550-13	3.7	35.542747600000006	129.3391186
181	맥도날드 목포하당DT점	전남 목포시 통일대로 88	(지번) 상동 1126-1	2.3	34.800431	126.433771
182	맥도날드 진해자은DT	경남 창원시 진해구 진해대로 950	(지번) 자은동 808-2	3.7	35.127979100000005	128.74492279999998
183	맥도날드 부산구서DT점	부산 금정구 중앙대로 1957	(지번) 구서동 163-2	3.3	35.25909229999999	129.0910017
184	맥도날드 부산덕천DT점	부산 북구 금곡대로 107	(지번) 덕천동 554-1	3.0	35.2192681	129.0063714
185	맥도날드 여수학동DT	전남 여수시 망마로 9	(지번) 학동 82-3	2.2	34.7610016	127.66445959999999
186	맥도날드 부산명지DT점	부산 강서구 명지국제8로 272	(지번) 명지동 3420-8	3.3	35.0974162	128.92248850000001
187	맥도날드 웅상DT	경남 양산시 웅상대로 1259	(지번) 삼호동 1016-9	3.3	35.4104151	129.1646376
188	맥도날드 부산범전DT점	부산 부산진구 중앙대로 823	(지번) 범전동 383-25	2.6	35.158733500000004	129.063596
189	맥도날드 부산구남DT점	부산 북구 백양대로 1045	(지번) 구포동 920-16	3.3	35.198924100000006	128.9959879
190	맥도날드 부산온천SK DT점	부산 동래구 충렬대로 121	(지번) 온천동 1431-4	3.1	35.1991186	129.0967278
191	맥도날드 부산정관DT점	부산 기장군 정관읍 정관로 584	(지번) 정관읍 매학리 720-3	2.6	35.3357294	129.1791946
192	맥도날드 부산초량DT점	부산 동구 초량동 1198-7		4.4	35.1172229	129.0413445
193	맥도날드 부산하단DT점	부산 사하구 낙동대로 431	(지번) 하단동 619-21	3.7	35.104116	128.9710367
194	맥도날드 부산교대DT점	부산 연제구 중앙대로 1179	(지번) 거제동 1-1	4.5	35.192558	129.0793584
195	맥도날드 부산엄궁DT점	부산 사상구 낙동대로 745	(지번) 엄궁동 367-3	4.2	35.1280145	128.9690623
196	맥도날드 울산일산DT점	울산 동구 방어진순환도로 634	(지번) 일산동 951-5	2.3	35.511151899999994	129.4234794
197	맥도날드 양산덕계DT점	경남 양산시 웅상대로 910	(지번) 평산동 16-6	2.2	35.3807367	129.1553337
198	맥도날드 부산사직DT	부산 동래구 아시아드대로 110	(지번) 사직동 105-11	3.0	35.2008625	129.0671004
199	맥도날드 범일SK DT점	부산 동구 자성로 127	(지번) 범일동 828-8	2.9	35.1344872	129.0586887
200	맥도날드 부산기장DT	부산 기장군 기장읍 기장대로 500	(지번) 기장읍 청강리 112-1	3.0	35.2395851	129.22047959999998
201	맥도날드 해운대DT점	부산 해운대구 해운대로570번길 51	(지번) 우동 626-13	2.3	35.1596667	129.1588889
202	맥도날드 부산남천DT점	부산 수영구 수영로 470	(지번) 남천동 30-5	2.3	35.1478463	129.110725
203	맥도날드 통영죽림DT점	경남 통영시 광도면 죽림4로 36	(지번) 광도면 죽림리 1569-1	2.3	34.8854748	128.4180781
204	맥도날드 부산영도DT점	부산 영도구 태종로 150	(지번) 봉래동3가 82-2	4.3	35.0854652	129.06038519999998
205	맥도날드 초읍DT점	부산 부산진구 성지로 152	(지번) 초읍동 171-6	3.3	35.1821125	129.0480925
206	맥도날드 부산황령DT점	부산 남구 황령대로 374	(지번) 대연동 201	4.0	35.144868599999995	129.09781759999998
207	맥도날드 부산송정DT점	부산 해운대구 해운대로 1114	(지번) 송정동 135-2	4.0	35.183741600000005	129.2014829
208	맥도날드 부산동명대DT점	부산 남구 신선로 424	(지번) 용당동 524	2.3	35.115885600000006	129.0908752
209	맥도날드 부산다대DT점	부산 사하구 다대로 532-1	(지번) 다대동 1160-12	3.4	35.058740500000006	128.9714409
210	맥도날드 옥포SK DT점	경남 거제시 거제대로 3714	(지번) 옥포동 551-1	2.8	34.87535689999999	128.6898688
211	맥도날드 제주시청DT점	제주특별자치도 제주시 중앙로 277	(지번) 이도이동 1057-2	3.0	33.4814679	126.54114579999998
212	맥도날드 제주공항DT점	제주특별자치도 제주시 도령로 159	(지번) 용담이동 1787-2	3.4	33.4951553	126.4926946
213	맥도날드 제주일도DT	제주특별자치도 제주시 동광로 134	(지번) 일도이동 369-11	3.1	33.5064332	126.5384595
214	맥도날드 제주서귀포DT점	제주특별자치도 서귀포시 일주동로 8665	(지번) 서귀동 284-29	2.5	33.2532159	126.56271640000001
215	맥도날드 제주월드컵스타디움DT점	제주특별자치도 서귀포시 일주서로 7	(지번) 강정동 231-1	2.3	33.2584326	126.4353135
