	mac_name	address	address2	score	link
94	스타벅스 오산갈곶DT점	경기 오산시 경기대로 50 B동	(지번) 갈곶동 244-3	4.0	https://place.map.kakao.com/1381220898#review
95	스타벅스 평택서정DT점	경기 평택시 경기대로 1353	(지번) 서정동 813-2	4.8	https://place.map.kakao.com/1579856452#review
96	스타벅스 이천증포DT점	경기 이천시 이섭대천로 1443	(지번) 증포동 217-5	3.0	https://place.map.kakao.com/1203263894#review
97	스타벅스 평택안중DT점	경기 평택시 안중읍 서동대로 1459	(지번) 안중읍 현화리 649-4	3.0	https://place.map.kakao.com/1254521785#review
98	스타벅스 안성공도DT점	경기 안성시 공도읍 서동대로 4489	(지번) 공도읍 마정리 147-8	5.0	https://place.map.kakao.com/1075072637#review
99	스타벅스 안성석정DT점	경기 안성시 중앙로 308	(지번) 석정동 254-3	2.5	https://place.map.kakao.com/186140202#review
100	스타벅스 평택죽백DT	경기 평택시 만세로 1707	(지번) 죽백동 479-7	5.0	https://place.map.kakao.com/1618383430#review
101	스타벅스 여주DT점	경기 여주시 세종로 358	(지번) 점봉동 429-1	5.0	https://place.map.kakao.com/486864707#review
102	스타벅스 당진시곡DT점	충남 당진시 서해로 6283	(지번) 시곡동 67	0.0	https://place.map.kakao.com/1995343223#review
103	스타벅스 천안성정DT점	충남 천안시 서북구 동서대로 154	(지번) 성정동 625-3	4.2	https://place.map.kakao.com/26428465#review
104	스타벅스 춘천석사DT	강원 춘천시 후석로 13	(지번) 석사동 799-4	3.0	https://place.map.kakao.com/733456178#review
105	스타벅스 천안IC DT점	충남 천안시 동남구 신부15길 3	(지번) 신부동 495-1	3.5	https://place.map.kakao.com/1968168899#review
106	스타벅스 춘천후평DT점	강원 춘천시 후석로 316	(지번) 후평동 700	4.0	https://place.map.kakao.com/205788772#review
107	스타벅스 천안두정역DT점	충남 천안시 서북구 두정로 264	(지번) 두정동 71-13	4.5	https://place.map.kakao.com/1314853691#review
108	스타벅스 천안서부대로DT점	충남 천안시 서북구 서부대로 405	(지번) 쌍용동 254	0.0	https://place.map.kakao.com/574190023#review
109	스타벅스 천안불당DT점	충남 천안시 서북구 불당34길 2	(지번) 불당동 1845	2.2	https://place.map.kakao.com/1386779902#review
110	스타벅스 원주명륜DT점	강원 원주시 남원로 588	(지번) 명륜동 290-1	4.5	https://place.map.kakao.com/1407276573#review
111	스타벅스 아산방축DT점	충남 아산시 온천대로 1392	(지번) 방축동 124-5	0.0	https://place.map.kakao.com/74328364#review
